"normal_quantile","empirical_quantile"
-0.322157561011378,-0.350064987924465
-0.320397966763361,-0.345247637616306
-0.318639363964375,-0.343357031539571
-0.316881746065078,-0.342610084904829
-0.315125106539292,-0.339191838591774
-0.313369438883806,-0.338858009171447
-0.311614736618174,-0.33745444785463
-0.309860993284523,-0.337307545574139
-0.308108202447355,-0.33667699526269
-0.306356357693354,-0.334357051397076
-0.304605452631193,-0.333165313273805
-0.302855480891349,-0.332909426750035
-0.301106436125905,-0.332100843963522
-0.299358312008367,-0.330492654742399
-0.29761110223348,-0.330061061581357
-0.295864800517036,-0.329824408010819
-0.294119400595695,-0.329234283926821
-0.292374896226804,-0.32641883918297
-0.29063128118821,-0.319514923653218
-0.288888549278085,-0.318337481998411
-0.287146694314745,-0.315221217664331
-0.285405710136475,-0.314516169585142
-0.28366559060135,-0.310627299804725
-0.281926329587061,-0.309600326965233
-0.280187920990745,-0.309366426640592
-0.278450358728805,-0.308324653609995
-0.276713636736747,-0.307057517699948
-0.274977748969005,-0.305080275293329
-0.273242689398773,-0.304428421588229
-0.271508452017839,-0.304223565506637
-0.269775030836415,-0.303499252400368
-0.268042419882977,-0.300062676584174
-0.266310613204095,-0.296154820776625
-0.264579604864273,-0.294668908105315
-0.262849388945785,-0.292022600663542
-0.261119959548518,-0.291296254623164
-0.259391310789807,-0.290722221827025
-0.257663436804279,-0.289825842073506
-0.255936331743693,-0.289645579524162
-0.254209989776788,-0.286897511741769
-0.252484405089121,-0.284388805272961
-0.250759571882916,-0.279249991480316
-0.249035484376909,-0.279142497739034
-0.247312136806196,-0.279101693521652
-0.245589523422081,-0.278987841563897
-0.243867638491923,-0.27702096098201
-0.242146476298991,-0.275306766998097
-0.240426031142308,-0.274261929693265
-0.238706297336511,-0.27384031380702
-0.236987269211696,-0.27300007371688
-0.23526894111328,-0.267844682030979
-0.233551307401847,-0.265634222469926
-0.23183436245301,-0.258030331634111
-0.230118100657266,-0.257025947758541
-0.228402516419851,-0.256647948986078
-0.226687604160602,-0.255307690621109
-0.224973358313812,-0.254502867203354
-0.223259773328092,-0.253596517343127
-0.221546843666235,-0.251753636322932
-0.219834563805069,-0.251170929710163
-0.218122928235328,-0.248798813722125
-0.21641193146151,-0.247768474228394
-0.214701568001745,-0.241782909994881
-0.212991832387653,-0.241458636534661
-0.211282719164219,-0.240996096262586
-0.209574222889649,-0.239141053747135
-0.207866338135247,-0.238137461405061
-0.206159059485273,-0.238078134664969
-0.204452381536821,-0.237417866322942
-0.20274629889968,-0.235298748104298
-0.201040806196209,-0.234749179337439
-0.199335898061207,-0.233930771719513
-0.197631569141782,-0.233825577713863
-0.195927814097225,-0.232721026489297
-0.194224627598883,-0.232565879982142
-0.192522004330032,-0.231928226910451
-0.19081993898575,-0.227171231582392
-0.189118426272792,-0.223005142332382
-0.187417460909469,-0.214980508250971
-0.185717037625516,-0.214013173326829
-0.18401715116198,-0.213568290604493
-0.182317796271085,-0.213204250996168
-0.18061896771612,-0.213172816436896
-0.178920660271312,-0.212209231548193
-0.177222868721707,-0.211108848247003
-0.17552558786305,-0.209167126124398
-0.173828812501662,-0.208304143850249
-0.172132537454328,-0.207269832052097
-0.170436757548171,-0.203969550196684
-0.168741467620538,-0.203726239990682
-0.167046662518882,-0.201964956981423
-0.165352337100645,-0.20100840001657
-0.163658486233141,-0.197933683994553
-0.161965104793443,-0.195504175467383
-0.160272187668264,-0.193251373695165
-0.158579729753843,-0.193220743519596
-0.156887725955836,-0.191064902639548
-0.155196171189194,-0.187078920665891
-0.153505060378057,-0.18576141371589
-0.151814388455637,-0.185660770139209
-0.150124150364106,-0.184998286336952
-0.14843434105449,-0.184793668290741
-0.146744955486549,-0.184299897997036
-0.145055988628672,-0.183818945377277
-0.143367435457767,-0.181621853235144
-0.141679290959147,-0.17766901853324
-0.139991550126426,-0.17752409544528
-0.138304207961404,-0.177320126284971
-0.136617259473966,-0.171452587300932
-0.134930699681965,-0.17126393301233
-0.133244523611124,-0.170346398879947
-0.131558726294919,-0.169964102965885
-0.129873302774482,-0.168308472787989
-0.128188248098485,-0.168120671660393
-0.126503557323044,-0.166370313643544
-0.124819225511603,-0.165664677441051
-0.123135247734837,-0.163907321976031
-0.121451619070543,-0.162145976648226
-0.119768334603538,-0.157473283026932
-0.118085389425553,-0.157390765619555
-0.116402778635129,-0.156802152398244
-0.114720497337515,-0.153353477964491
-0.113038540644565,-0.153315751292056
-0.111356903674635,-0.153211798905306
-0.109675581552481,-0.147626718945612
-0.107994569409154,-0.146084614616644
