"n","theoretical","observed"
150,0.601534624000873,0.551565179311922
150,0.602885975403636,0.552405414115272
150,0.604238240499101,0.553086190139226
150,0.605591420523658,0.553675495259356
150,0.60694551671621,0.555522243011601
150,0.608300530318176,0.556366701320545
150,0.609656462573503,0.558582301083172
150,0.611013314728666,0.559300284844634
150,0.612371088032681,0.55930793080863
150,0.61372978373711,0.56257664532468
150,0.615089403096065,0.562952077630231
150,0.616449947366221,0.564412050046336
150,0.617811417806815,0.565635113194476
150,0.619173815679662,0.567141935973804
150,0.620537142249153,0.56816117899622
150,0.62190139878227,0.568780299284319
150,0.623266586548588,0.573259218240494
150,0.624632706820284,0.573449399219723
150,0.625999760872142,0.575273626585626
150,0.627367749981563,0.576787196147829
150,0.628736675428573,0.576959045362485
150,0.630106538495826,0.577551884819539
150,0.631477340468612,0.577870304789177
150,0.63284908263487,0.5788459502828
150,0.634221766285186,0.579009408915509
150,0.635595392712809,0.580105938444016
150,0.636969963213652,0.580542849963694
150,0.638345479086303,0.580812579057828
150,0.639721941632032,0.581554561428511
150,0.641099352154796,0.583951811044805
150,0.642477711961247,0.585128088655366
150,0.643857022360744,0.585616811545707
150,0.645237284665354,0.58578439173835
150,0.646618500189864,0.585965170844232
150,0.648000670251785,0.586147464978261
150,0.649383796171363,0.587762340540357
150,0.650767879271585,0.591374849537078
150,0.652152920878185,0.593001534702268
150,0.653538922319655,0.597746455459814
150,0.654925884927251,0.59855411739734
150,0.656313810034998,0.599884376624225
150,0.657702698979704,0.599919610127627
150,0.659092553100959,0.600663330088879
150,0.660483373741154,0.601243069670217
150,0.661875162245476,0.60169902314054
150,0.663267919961927,0.603221171055251
150,0.664661648241326,0.605016321169247
150,0.666056348437316,0.608907814328769
150,0.667452021906375,0.609401848825029
150,0.668848670007825,0.613160219397063
150,0.670246294103835,0.613766773221878
150,0.671644895559432,0.616234381586679
150,0.673044475742509,0.61653411095119
150,0.674445036023834,0.618968506137066
150,0.675846577777055,0.619391965921515
150,0.677249102378711,0.620496464975355
150,0.678652611208239,0.621383867844507
150,0.68005710564798,0.625575502530904
150,0.681462587083193,0.626897990406982
150,0.682869056902056,0.630219360892248
150,0.68427651649568,0.630902022950719
150,0.685684967258113,0.633068312019616
150,0.687094410586353,0.634287094726207
150,0.688504847880351,0.636316538086947
150,0.689916280543022,0.636800740353527
150,0.691328709980256,0.638641946256759
150,0.692742137600921,0.641941952595336
150,0.694156564816875,0.645638661881074
150,0.695571993042973,0.646076582374137
150,0.696988423697077,0.647296616497766
150,0.698405858200063,0.647523185534757
150,0.69982429797583,0.648053167849029
150,0.70124374445131,0.648953278458444
150,0.702664199056474,0.652207441283578
150,0.704085663224342,0.652304930990181
150,0.705508138390992,0.65585961558302
150,0.706931625995568,0.657527854961407
150,0.70835612748029,0.658698654280487
150,0.709781644290462,0.659622379341075
150,0.711208177874479,0.660854576045066
150,0.712635729683838,0.662113370623218
150,0.714064301173148,0.664741617576349
150,0.715493893800136,0.666714945224984
150,0.716924509025656,0.667527679996273
150,0.718356148313702,0.669173939506202
150,0.719788813131411,0.669746250374111
150,0.721222504949078,0.673134753373321
150,0.722657225240159,0.676035451341298
150,0.724092975481287,0.67723077209817
150,0.725529757152274,0.678068131086436
150,0.726967571736126,0.678495275432792
150,0.728406420719048,0.678653431155023
150,0.729846305590456,0.679084198359278
150,0.731287227842986,0.679570211683338
150,0.732729188972499,0.680356379372719
150,0.734172190478099,0.680706425222142
150,0.735616233862132,0.681613678008277
150,0.737061320630204,0.681911380234478
150,0.738507452291185,0.68277196389216
150,0.739954630357222,0.682882062690035
150,0.741402856343746,0.684352677629167
150,0.742852131769483,0.688560906653549
150,0.744302458156462,0.688622011529346
150,0.745753837030026,0.688880621435877
150,0.747206269918841,0.690388154095552
150,0.748659758354906,0.69129542633457
150,0.750114303873564,0.691580149071651
150,0.751569908013508,0.693930373897997
150,0.753026572316793,0.700977386813095
150,0.754484298328849,0.701329496965895
150,0.755943087598484,0.701468977418488
150,0.757402941677899,0.703810254417284
150,0.758863862122697,0.705543994207693
150,0.760325850491892,0.707891556355453
150,0.761788908347919,0.708263445759805
150,0.763253037256645,0.708676084598173
150,0.764718238787378,0.709052758947477
150,0.766184514512878,0.709919870734775
150,0.767651866009366,0.710631991267662
150,0.769120294856536,0.710733698009397
150,0.770589802637563,0.711973584458175
150,0.772060390939114,0.71225835332042
150,0.77353206135136,0.714535411019466
150,0.775004815467984,0.714769102611711
150,0.776478654886192,0.71634840251852
150,0.777953581206724,0.717690182888511
150,0.779429596033865,0.720035014526492
150,0.780906700975453,0.723095039327539
150,0.782384897642891,0.723532434518515
150,0.78386418765116,0.725032728940497
150,0.785344572618824,0.726589344347874
150,0.786826054168046,0.728197031989321
150,0.788308633924595,0.729208950018199
150,0.78979231351786,0.729330157510299
