"normal_quantile","empirical_quantile"
-0.461183906902825,-0.302397961761135
-0.459326110835663,-0.301143387346065
-0.457469898739305,-0.300923577803788
-0.455615261530281,-0.300024395867345
-0.453762190169879,-0.296725388874867
-0.451910675663763,-0.29668300583355
-0.450060709061585,-0.294130385563011
-0.448212281456609,-0.291052569414773
-0.446365383985334,-0.287198625180871
-0.44452000782712,-0.286705733938854
-0.442676144203821,-0.284711344803387
-0.440833784379422,-0.283960258913198
-0.43899291965967,-0.2810976096132
-0.437153541391722,-0.277226387559962
-0.435315640963789,-0.276869209223876
-0.433479209804779,-0.273678387127696
-0.431644239383956,-0.273134765741186
-0.429810721210588,-0.270319290092612
-0.427978646833609,-0.269809386972435
-0.426148007841278,-0.267842311862764
-0.424318795860844,-0.266443860276534
-0.422491002558212,-0.261512612916296
-0.420664619637615,-0.259814428626096
-0.418839638841287,-0.257028345798665
-0.417016051949136,-0.255807114166345
-0.415193850778427,-0.255159132904458
-0.413373027183463,-0.250324762359005
-0.411553573055269,-0.245064565178818
-0.409735480321281,-0.243326734611658
-0.407918740945035,-0.242851294660276
-0.406103346925861,-0.241628559144097
-0.404289290298579,-0.241528314810887
-0.402476563133199,-0.24003903599531
-0.40066515753462,-0.23685085594431
-0.398855065642337,-0.229788912960217
-0.397046279630143,-0.227203767209709
-0.395238791705844,-0.223775717689208
-0.393432594110967,-0.22254771581637
-0.391627679120473,-0.222227871758234
-0.389824039042481,-0.221102895299635
-0.388021666217977,-0.220545037381681
-0.386220553020544,-0.22037102520215
-0.384420691856081,-0.218972070650522
-0.382622075162534,-0.216852914254429
-0.380824695409619,-0.215395971133445
-0.379028545098558,-0.209947227260558
-0.377233616761812,-0.209507386498542
-0.375439902962811,-0.208944028928243
-0.3736473962957,-0.208329921629764
-0.371856089385075,-0.208168788814073
-0.370065974885723,-0.204319646045089
-0.368277045482372,-0.204048088178895
-0.366489293889434,-0.201535134991675
-0.364702712850752,-0.200739498017016
-0.362917295139356,-0.199236507544926
-0.361133033557212,-0.199081374569709
-0.359349920934978,-0.197236939806308
-0.357567950131761,-0.196602668218722
-0.355787114034875,-0.194312637662973
-0.354007405559604,-0.185950658864622
-0.352228817648962,-0.183852701667529
-0.350451343273461,-0.179689061122576
-0.348674975430875,-0.177644819140232
-0.34689970714601,-0.177181525793508
-0.345125531470472,-0.175879276046557
-0.343352441482445,-0.173550444992101
-0.341580430286458,-0.172602816846098
-0.339809491013167,-0.171805733362731
-0.338039616819126,-0.171237417113414
-0.336270800886575,-0.170634618269712
-0.334503036423212,-0.170225802850792
-0.332736316661985,-0.167417335397288
-0.330970634860867,-0.16683957660546
-0.329205984302651,-0.160066492989867
-0.327442358294733,-0.155520351651377
-0.325679750168902,-0.155304125515059
-0.323918153281133,-0.154707973692344
-0.322157561011378,-0.152773946196421
-0.320397966763361,-0.150441994744371
-0.318639363964375,-0.148833184659728
-0.316881746065078,-0.144926033940217
-0.315125106539292,-0.144549793649703
-0.313369438883806,-0.143907131926385
-0.311614736618174,-0.143057349440234
-0.309860993284523,-0.140566316642198
-0.308108202447355,-0.139273473707438
-0.306356357693354,-0.136732244198042
-0.304605452631193,-0.13591318525775
-0.302855480891349,-0.131129057501299
-0.301106436125905,-0.129527009370926
-0.299358312008367,-0.129009329770774
-0.29761110223348,-0.125306771863473
-0.295864800517036,-0.124342608765718
-0.294119400595695,-0.122688727044967
-0.292374896226804,-0.12084917048481
-0.29063128118821,-0.119206617142143
-0.288888549278085,-0.118404372662823
-0.287146694314745,-0.116912183792178
-0.285405710136475,-0.115225261248906
-0.28366559060135,-0.114408465625857
-0.281926329587061,-0.113395649246357
-0.280187920990745,-0.108695928912903
-0.278450358728805,-0.108519246200494
-0.276713636736747,-0.105274429873743
-0.274977748969005,-0.104356898353592
-0.273242689398773,-0.104248907039403
-0.271508452017839,-0.103597733480383
-0.269775030836415,-0.102922783361944
-0.268042419882977,-0.0978928411568271
-0.266310613204095,-0.0974914560630208
-0.264579604864273,-0.0972978499388608
-0.262849388945785,-0.0970060042515819
-0.261119959548518,-0.0939950410502103
-0.259391310789807,-0.0921581242330962
-0.257663436804279,-0.0896977281748433
-0.255936331743693,-0.0883082352487786
-0.254209989776788,-0.0868846300703956
-0.252484405089121,-0.0864864452124443
-0.250759571882916,-0.0839156563586544
-0.249035484376909,-0.083511814380655
