"normal_quantile","empirical_quantile"
-1.02471009147413,-0.704474260035823
-1.0225936779245,-0.704094832732217
-1.02048183489814,-0.701668264060089
-1.01837453331884,-0.700534562439239
-1.01627174437815,-0.700019953498011
-1.01417343953202,-0.685851487401935
-1.01207959049752,-0.683682372934976
-1.00999016924958,-0.68309176618836
-1.00790514801777,-0.68275116939108
-1.00582449928319,-0.678869783382507
-1.00374819577532,-0.678046967314564
-1.00167621046902,-0.677763458183506
-0.999608516581484,-0.677004921605134
-0.997545087569284,-0.676176460789913
-0.995485897125478,-0.675474506855424
-0.993430919176717,-0.675171763522537
-0.991380127880429,-0.673930099010501
-0.989333497622032,-0.670065488039988
-0.987291003012191,-0.669897287449761
-0.98525261888412,-0.667897489738215
-0.98321832029092,-0.667597187948973
-0.981188082502958,-0.666423010919697
-0.97916188100529,-0.665227876061003
-0.977139691495112,-0.663573276241788
-0.975121489879261,-0.662307383773851
-0.973107252271743,-0.661841110678072
-0.971096954991302,-0.658002871463499
-0.969090574559027,-0.656713150663822
-0.967088087695987,-0.656216292974956
-0.965089471320906,-0.654691713751856
-0.963094702547874,-0.652996836090203
-0.961103758684083,-0.651400860031849
-0.959116617227602,-0.645193943279598
-0.957133255865185,-0.643530643653015
-0.955153652470107,-0.643437093634268
-0.95317778510003,-0.643064336796002
-0.951205631994903,-0.642985481823073
-0.949237171574895,-0.642967140201923
-0.947272382438347,-0.642084625491675
-0.945311243359762,-0.641653008619375
-0.943353733287822,-0.63876701615355
-0.941399831343427,-0.638397734943594
-0.939449516817774,-0.637536114351883
-0.937502769170445,-0.637386251165497
-0.935559568027541,-0.635756288588106
-0.933619893179827,-0.634680154925491
-0.931683724580911,-0.634270916765732
-0.929751042345445,-0.633544074276202
-0.927821826747354,-0.632308235100178
-0.92589605821808,-0.632285712052009
-0.923973717344869,-0.631769829106688
-0.922054784869055,-0.630557241302874
-0.920139241684398,-0.626678829643012
-0.918227068835414,-0.623766996623169
-0.916318247515753,-0.623404911367995
-0.914412759066582,-0.622826109918712
-0.912510584975,-0.614935448640451
-0.91061170687247,-0.613998424879142
-0.90871610653327,-0.609595584073771
-0.906823765872969,-0.608637373933084
-0.904934666946923,-0.608236800913737
-0.903048791948789,-0.606624262286728
-0.901166123209059,-0.605752538508686
-0.899286643193613,-0.602562749031745
-0.897410334502294,-0.60254705193981
-0.895537179867498,-0.599799507910994
-0.893667162152789,-0.599404820375926
-0.891800264351518,-0.596654788505708
-0.88993646958548,-0.595482817151187
-0.888075761103571,-0.593846214948485
-0.886218122280474,-0.590458993472478
-0.884363536615353,-0.590412257671375
-0.882511987730573,-0.589288871748547
-0.880663459370429,-0.589073796108736
-0.878817935399895,-0.586312725622789
-0.876975399803386,-0.585843771933736
-0.875135836683547,-0.58391826773185
-0.873299230260036,-0.582648922271257
-0.871465564868344,-0.581656574996461
-0.869634824958618,-0.581102720845807
-0.867806995094501,-0.580552480885739
-0.865982059951992,-0.578367031381989
-0.864160004318308,-0.577992705668767
-0.862340813090778,-0.576854851941728
-0.860524471275735,-0.573988067365475
-0.858710963987425,-0.571537297579193
-0.856900276446943,-0.571414367921987
