"standardized_alpha","quantity","standardized_error"
-0.420235819844056,"Delta",-0.466007058638004
0.010897448168394,"Delta",-0.471030562597311
-1.49383075243006,"Delta",-1.17760033188777
-0.959687155504784,"Delta",-1.00254174519127
-0.390436018845034,"Delta",-0.86433148083152
-0.713865547597943,"Delta",-0.586616177887161
0.71097376567648,"Delta",0.568108313603344
0.197091149545972,"Delta",0.0195806377021213
0.279649269191224,"Delta",0.409463659779601
-0.241628559144097,"Delta",-0.583518257788599
-0.196602668218722,"Delta",-0.0143016281021159
0.489564544679627,"Delta",0.155614297164065
-0.911447777439185,"Delta",-0.996933487984748
0.19954202937505,"Delta",0.0543222147901307
1.8286650238644,"Delta",2.88198157179527
-0.222547715816399,"Delta",-0.291296254623164
0.142489421028977,"Delta",0.49233141134417
0.275786107423004,"Delta",0.758643085181952
-0.543548657376791,"Delta",-0.487434273556253
-0.436955765763672,"Delta",-0.162145976648226
-0.662056514416291,"Delta",-0.843372165109776
-0.171237417113414,"Delta",-0.098176603264345
-1.26373173978731,"Delta",-0.875351620311816
0.357157364446121,"Delta",0.152483357108421
-0.435617953215661,"Delta",-0.380517970123066
-2.14523871320446,"Delta",-1.19166675033112
-1.34294848966004,"Delta",-1.00656040377028
0.238743152644929,"Delta",0.071562825016541
0.663660953418063,"Delta",0.198733855541546
-0.46402471049871,"Delta",-0.745497797321418
-0.458211766959683,"Delta",-0.392220678752404
-0.0357964916962566,"Delta",-0.213172816436896
0.310659695193613,"Delta",-0.163907321976031
0.230181658549049,"Delta",0.403648630720622
0.426719696554743,"Delta",0.269964310722396
0.614839594504526,"Delta",0.763998947727973
1.60572208852077,"Delta",1.04363554886401
