"spike_index","K0","hat_lambda","mhat1","mhat2","mhat3","mhat4","hat_alpha","hat_Delta","hat_r2","d_alpha","d_Delta","d_r2","se_alpha","se_Delta","se_r2","ci_alpha_lower","ci_alpha_upper","ci_Delta_lower","ci_Delta_upper","ci_r2_lower","ci_r2_upper","ci_r2_display_lower","ci_r2_display_upper","phase_lower_bound","phase_certified","sample_gap_previous","sample_gap_next","minimum_neighbor_gap","previous_relative_gap","next_relative_gap","relative_neighbor_gap","phase_interior","separation_pass","regular_inference_valid","inference_status","K0_sensitivity","domain_hours"
5,8,0.439885289520859,-2.46729843726104,6.62343898420851,-18.5926125563122,55.6826423213427,0.405301598257447,0.919093780893073,0.846834816299939,1.08802825216412,0.2253674919657,0.555842612185005,0.0488166272826632,0.0101115764549638,0.0249390230197482,0.309622766936711,0.500980429578182,0.899275455214421,0.938912106571725,0.797955229371617,0.89571440322826,0.797955229371617,0.89571440322826,0.902461717686929,1,0.138228377458452,0.0890150027583765,0.0890150027583765,0.239102421121967,0.20235958073373,0.20235958073373,TRUE,TRUE,TRUE,"regular_separated",8,6
6,8,0.350870286762482,-3.26075667879036,12.1417035016259,-52.2449093897151,280.621377118259,0.306677283375516,0.875703653680236,0.765406555313321,1.14193882347915,1.01467100611086,1.5554750942194,0.0378418530554,0.0336244204359721,0.0515457209585449,0.232508614278675,0.380845952472357,0.809801000624698,0.941606306735774,0.664378798677422,0.866434311949221,0.664378798677422,0.866434311949221,0.820396403771986,1,0.0890150027583765,0.0171311304617797,0.0171311304617797,0.20235958073373,0.0488246828189712,0.0488246828189712,TRUE,FALSE,FALSE,"weak_sample_separation",8,6
1,10,1.65080212076858,-0.581890419365526,0.363015058693783,-0.226622399126026,0.141576907990213,1.71853662944024,0.932733923952742,0.971005182067505,1.07211711112875,0.000790131701934982,0.0183866302462835,0.205470404213341,0.000151428121511306,0.00352378327853347,1.31582203729321,2.12125122158728,0.932437130288333,0.933030717617151,0.964098693752255,0.977911670382755,0.964098693752255,0.977911670382755,0.932484846857852,1,Inf,0.527397003618219,0.527397003618219,Inf,0.319479237991694,0.319479237991694,TRUE,TRUE,TRUE,"regular_separated",10,6
2,10,1.12340511715036,-0.867369345272528,0.807286701641372,-0.752603049006653,0.702880630866989,1.1529113928805,0.931923664280436,0.956400672777115,1.07304926178919,0.00285611871635894,0.041741112190535,0.137903449338647,0.00036705549011779,0.00536437939550724,0.882625598832912,1.42319718692809,0.931204248739477,0.932643079821394,0.945886682362512,0.966914663191718,0.945886682362512,0.966914663191718,0.931319911726223,1,0.527397003618219,0.431127630491632,0.431127630491632,0.319479237991694,0.383768619093737,0.319479237991694,TRUE,TRUE,TRUE,"regular_separated",10,6
3,10,0.692277486658729,-1.44981191957314,2.26291738470138,-3.55180617581674,5.61106235711465,0.689744639631896,0.928869350841863,0.925470881270144,1.07657766842416,0.0162262216215288,0.123824723130196,0.0826381118747697,0.00124552492309026,0.00950478690299558,0.527776916606956,0.851712362656836,0.926428166850759,0.931310534832967,0.906841841259544,0.944099921280743,0.906841841259544,0.944099921280743,0.92682064465466,1,0.431127630491632,0.114163819679418,0.114163819679418,0.383768619093737,0.164910490200149,0.164910490200149,TRUE,TRUE,TRUE,"regular_separated",10,6
4,10,0.578113666979311,-1.76465467494681,3.36207762318721,-6.46524153382846,12.5724985798307,0.566683110410902,0.926214820364441,0.907901551705714,1.07966313862968,0.0328942616880195,0.191552418058102,0.0679913672194873,0.00207150336602457,0.0120629392001835,0.43342247940107,0.699943741420734,0.92215474837318,0.930274892355703,0.884258625325657,0.93154447808577,0.884258625325657,0.93154447808577,0.922807500539594,1,0.114163819679418,0.138228377458452,0.114163819679418,0.164910490200149,0.239102421121967,0.164910490200149,TRUE,TRUE,TRUE,"regular_separated",10,6
5,10,0.439885289520859,-2.39867070261299,6.26858273042985,-16.7494232697707,46.0663459084637,0.416897575357321,0.917850395695324,0.869884975973933,1.08950217234743,0.10758381852497,0.397754735802578,0.0502473066683731,0.00496171302745688,0.0183442536379786,0.318414663967171,0.515380486747472,0.908125616859886,0.927575174530763,0.833930899520227,0.905839052427639,0.833930899520227,0.905839052427639,0.90968910402622,1,0.138228377458452,0.0890150027583765,0.0890150027583765,0.239102421121967,0.20235958073373,0.20235958073373,TRUE,TRUE,TRUE,"regular_separated",10,6
6,10,0.350870286762482,-3.13318647701987,10.9021776265212,-40.0225279390463,158.445474014989,0.319163895074368,0.900449234646406,0.819080144113276,1.11055677713212,0.344830034188974,0.829301208209967,0.0388377004918791,0.0120591813621813,0.02900180576556,0.243043400867932,0.395284389280805,0.876813673493494,0.924084795799318,0.762237649326153,0.8759226389004,0.762237649326153,0.8759226389004,0.880613646444757,1,0.0890150027583765,0.0171311304617797,0.0171311304617797,0.20235958073373,0.0488246828189712,0.0488246828189712,TRUE,FALSE,FALSE,"weak_sample_separation",10,6
1,6,2.59188319572135,-0.390123128829996,0.158915666953095,-0.0649077865956178,0.0265913078703646,2.5632932940917,0.957715866321897,0.947151731930155,1.04415102136764,0.00209595267483498,0.0224627443096562,0.302447033022042,0.000607110135302216,0.00650652082980268,1.9705080021375,3.1560785860459,0.956525952322055,0.958905780321739,0.934399185439082,0.959904278421228,0.934399185439082,0.959904278421228,0.956717259013886,1,Inf,1.05806286802614,1.05806286802614,Inf,0.408221662832948,0.408221662832948,TRUE,TRUE,TRUE,"regular_separated",6,12
2,6,1.5338203276952,-0.686814757921954,0.495888356248213,-0.362222072934446,0.268511252364245,1.45599666935758,0.951251437457183,0.902986418715986,1.05124676885969,0.0160553324332862,0.0784903483533899,0.172378098931256,0.00263267176132324,0.0128704481520411,1.11814180372884,1.79385153498633,0.946091495621874,0.956411379292493,0.877760803873095,0.928212033558877,0.877760803873095,0.928212033558877,0.946921077761998,1,1.05806286802614,0.497177981814645,0.497177981814645,0.408221662832948,0.324143560257628,0.324143560257628,TRUE,TRUE,TRUE,"regular_separated",6,12
